video_id,url,duration_seconds,published_at,tags,title,description,view_count,like_count,comment_count,engagement_rate
Y5SNI9J1BW0,https://www.youtube.com/watch?v=Y5SNI9J1BW0,16,2024-06-05T14:57:36Z,"World Athletics, worldAthletics, IAAF, Athletics, World Championships, track and field",Sha'Carri Richardson is a mood 💅 #athletics #sports #running #usa #nails #fast,"Subscribe to our channel - https://www.youtube.com/worldathletics

⭐️ Watch exclusive videos on Inside Track - https://worldathletics.org/videos ⭐️

⭐️ Follow us on Twitter - https://twitter.com/WorldAthletics ⭐️

⭐️ Follow us on Facebook - https://www.facebook.com/WorldAthletics/ ⭐️

⭐️ Follow us on Instagram - https://www.instagram.com/worldathletics/ ⭐️

⭐️ Follow us on TikTok - https://www.tiktok.com/@worldathletics/ ⭐️

Make sure you subscribe for athletics highlights, interviews with the athletes, training tips and more!",10361249,392152,5895,0.0384
r7ih9WZFPA4,https://www.youtube.com/watch?v=r7ih9WZFPA4,8,2024-06-21T23:54:44Z,"espn fc, soccer on espn, espn soccer, ESPNFC, #ESPNFC, ESPN FC, espn fc tv, soccer, futbol",That was satisfying (via soccer.gh/IG) #shorts,"(Description)

✔ Subscribe to ESPN+: http://espnplus.com/soccer/youtube
✔ Subscribe to ESPN FC on YouTube: http://bit.ly/SUBSCRIBEtoESPNFC",20756729,713430,5973,0.0347
k32hblBxvAE,https://www.youtube.com/watch?v=k32hblBxvAE,37,2024-04-03T18:00:21Z,"Champions League, Europa League, Soccer, UEFA, UCL, European Soccer, European Football, European Futbol, UEL, UCL Highlights, Champions League Highlights, Football, CBS Golazo, CBS, Micah Richards, Jamie Carragher, Thierry Henry, CBS Studio",Is Zinedine Zidane the best French footballer ever? 👀,"Stream every UEFA Champions League match live on Paramount+: http://bit.ly/UCLonParamount

Watch all the extended highlights from the UEFA Champions League HERE: http://bit.ly/ChampionsLeagueExtendedHighlights 

Watch the epic UCL punditry from Thierry Henry, Micah Richards, and Jamie Carragher HERE: http://bit.ly/CBSSportsGolazo

Follow us across our social media! 
○ TWITTER: http://twitter.com/CBSSportsGolazo
○ FACEBOOK: http://facebook.com/CBSSportsGolazo/
○ INSTAGRAM: http://instagram.com/cbssportsgolazo
○ TIK TOK: http://tiktok.com/@cbssportsgolazo

Subscribe to our other CBS Sports Golazo channels!
https://www.youtube.com/@CBSSportsGolazoEurope
https://www.youtube.com/@attackingthird
https://www.youtube.com/@cbssportsgolazo-asia
https://www.youtube.com/CBSSportsGolazo-SouthAmerica

Home of Serie A, NWSL, Concacaf Men's and Women's Nations League and World Cup Qualifiers, Argentina’s Liga Profesional de Fútbol, Brazil’s Campeonato Brasileirão Série A and UEFA men’s club competitions including the Europa League, Europa Conference League and... 🎶 THE CHAAAMPIONSSS 🎶",24688515,880224,5446,0.0359
BIB0FM08Wds,https://www.youtube.com/watch?v=BIB0FM08Wds,26,2024-06-27T06:51:37Z,"Olympic Games, Olympic Medal, Olympics, Olympic Sports, Sport, Gold, Silver, Beijing2022, Beijing 2022, Olympic Games 2022, Olympics 2022, токио 2020, Beijing, Winter Olympics, Tokyo 2020, Tokyo 2021, olympic games, olympic games 2022, olympic games 2020, beijing 2022, olympic channel, olympics 2020",So satisfying! 🎯,"📲 Want to watch live sport and original documentaries for free? Check out our website: https://oly.ch/WatchLiveSport

_____________________________________________________
🇨🇳 #Beijing2022 replays: https://oly.ch/B22Replays
🇯🇵 #Tokyo2020 replays: https://oly.ch/T20Replays
🗞️ News from the Olympic world: https://oly.ch/News",47911051,1174454,1367,0.0245
pCw1eDTIiPQ,https://www.youtube.com/watch?v=pCw1eDTIiPQ,9,2024-05-25T12:00:46Z,"Paralympics, olympics, olympic games, disability sports, disability, paralympic games, yt:cc=on",Gold #6 for India! 🇮🇳✨,"🇮🇳 Simran 🥇 in the women’s 200m T12 ⏱️24.95 at Kobe 2024.

The International Paralympic Committee's vision is to make for an inclusive world through Para sport. Our mission is to lead the Paralympic Movement, oversee the delivery of the Paralympic Games and support members to enable Para athletes to achieve sporting excellence.

Stay connected to the Paralympic Movement:
Website ▶ www.paralympic.org
Facebook ▶ Facebook.com/Paralympics
X ▶ X.com/Paralympics
Instagram ▶ Instagram.com/Paralympics
TikTok ▶ TikTok.com/@Paralympics

#Paralympics #ParaAthletics #Athletics #Kobe2024 #Shorts 

License Paralympic footage via IMG Video Archive  ▶ http://bit.ly/49m22Bt",269834,6559,44,0.0245
9pcxlcZWD1Q,https://www.youtube.com/watch?v=9pcxlcZWD1Q,27,2024-04-29T10:23:19Z,"World Athletics, worldAthletics, IAAF, Athletics, World Championships, track and field",The first mixed 4x400m at the #worldathleticschamps 👀 #athletics #sports #running #usa #poland,"Subscribe to our channel - https://www.youtube.com/worldathletics

⭐️ Watch exclusive videos on Inside Track - https://worldathletics.org/videos ⭐️

⭐️ Follow us on Twitter - https://twitter.com/WorldAthletics ⭐️

⭐️ Follow us on Facebook - https://www.facebook.com/WorldAthletics/ ⭐️

⭐️ Follow us on Instagram - https://www.instagram.com/worldathletics/ ⭐️

⭐️ Follow us on TikTok - https://www.tiktok.com/@worldathletics/ ⭐️

Make sure you subscribe for athletics highlights, interviews with the athletes, training tips and more!",38494931,468069,4250,0.0123
knho4y38r2k,https://www.youtube.com/watch?v=knho4y38r2k,60,2024-06-11T18:26:11Z,,Best Sports Drink in the world is🫡🤔🥤🏃‍♂️🏏 #cricket #drinks #sports #t20worldcup,,569929,26188,198,0.0463
bSG0QUb9U_E,https://www.youtube.com/watch?v=bSG0QUb9U_E,60,2024-05-14T01:00:25Z,"jake triplett podcast, jake triplett, brad ellis, ellis custom creations, ghostrunners, ghost runners, ghostrunners podcast, jake and brad, trey kennedy, trey kennedy podcast, correct opinions podcast, jake trey podcast, do less god bless podcast, jean shorts comedy",10 most popular sports in the world,"Check out Main Street Roasters and use code GRKC at check out for a 10% discount! https://mainstreetroasters.com        

Ghostrunners merch: https://bit.ly/399MXFu
Become a Patron and get exclusive content from Jake & Brad: https://bit.ly/2XJ1h3y  
Follow us on Instagram: http://bit.ly/33WAq4P 
Leave us a voice memo and ask a question: https://anchor.fm/jake-triplett/message",1438283,32879,1778,0.0241
TiZu74DkKLA,https://www.youtube.com/watch?v=TiZu74DkKLA,560,2024-05-04T09:00:21Z,"Funniest Moments in Sports 2024, Funniest Moments, Funniest Moments in Sports, funniest sports, funny sports, funny moments, Messi, Ronaldo, Jürgen Klopp, Alexander Bublik, Rafael Nadal, Sports, Spor Delisi HD",Funniest Moments in Sports 2024,"Funniest Moments in Sports 2024 video with you. This video, consisting of the funniest moments of 2024, includes names such as Messi, Ronaldo, Jürgen Klopp, Alexander Bublik and Rafael Nadal.
Enjoy the video..

Watch My Other Videos:

Comedy Sports & Cute Moments! ► https://youtu.be/_bv_eXsHLvs

Most Funny Moments in Sports #7 ► https://youtu.be/ThLMoZLEJYk

Legendary Red Cards in Football #4 ► https://youtu.be/jV_NUbJsksY

Embarrassing Moments in Sports! ► https://youtu.be/6h8eU-atwxE

Ball Boys/Girls Moments ► https://youtu.be/GaUYvNPvEVU

Most Funny and Cute Moments in Fans ► https://youtu.be/QjMCeGAJFvM

Most Funny Moments With Reporters in Sports! ► https://youtu.be/4CBC74LSO9k

Impossible Moments in Sports #2 ► https://youtu.be/kgPT9_TLxEk

👍 IF YOU LIKE SOCCER JOIN THE CHANNEL: https://bit.ly/2Z8C9Be

Spor Delisi HD © 2024",595091,1056,23,0.0018
Z-RBlRcpXEQ,https://www.youtube.com/watch?v=Z-RBlRcpXEQ,11,2024-06-26T02:57:13Z,,QB made a business decision after watching that hit 😳 (via julian_baldi/IG) #shorts #football #nfl,,4944263,119315,2021,0.0245
S_vN5fawu5E,https://www.youtube.com/watch?v=S_vN5fawu5E,16,2024-04-14T12:08:21Z,"TNT Sports, TNT Football, TNT, Discovery, Eurosport, Warner Bros., Cricket, Football, UFC, Boxing, Premier League, Arsenal, Liverpool, Manchester United, Chelsea, Tottenham, Manchester City, Tyson Fury, Oleksandr Usyk, Joe Joyce, Bukayo Saka, Erling Haaland, Mohamed Salah, Bruno Fernandes, Conor McGregor, Dana White, MMA, Khabib Nurmagomedov, Moto GP, UEFA Champions League, Real Madrid, UEFA Europa League, UCL, UEL, Soccer, Tennis, Rugby, Olympics, Cycling, Baseball, WWE, Wrestling, Golf, F1, Sport",Alexander Isak didn’t realise he was on the brink of going past Zlatan Ibrahimovic 👀🇸🇪,"Hit 'Subscribe' above to ensure you never miss a video from the TNT Sports YouTube channel.

From the front row to your front room. From the centre circle to your sofa. TNT Sports brings you closer to the live sport you love.

Get your Discovery + pass now to experience UEFA Champions League and Europa League drama, exclusive Premier League action, plus Premiership Rugby, MotoGP, Boxing, UFC, WWE and more ▶️ https://auth.discoveryplus.com/gb/product?flow=purchase

Twitter: https://twitter.com/tntsports
Facebook: https://www.facebook.com/tntsports
Instagram: https://www.instagram.com/tntsports/
Website: https://www.tntsports.co.uk/",2194287,73256,1059,0.0339
pyxBSWQF_BE,https://www.youtube.com/watch?v=pyxBSWQF_BE,47,2024-04-17T14:30:30Z,"David King, gdaydk",They weren’t expecting him to do THAT! #sports #inspiration,,2730017,113743,316,0.0418
ZJUput_gEwc,https://www.youtube.com/watch?v=ZJUput_gEwc,20,2024-04-02T12:26:57Z,"Hockey, OHL",THE MOST RUTHLESS CHIRP IN THE PENALTY BOX 😳☠️,,4518134,124260,1123,0.0278
D-ENJ_WSsXE,https://www.youtube.com/watch?v=D-ENJ_WSsXE,60,2024-05-28T19:34:56Z,,TOP 10 HIGHEST PAID SPORTS In The WORLD! #shorts #sports #money #salary #soccer #top10 #world,,828252,30395,705,0.0375
Nn2_7IvCeZk,https://www.youtube.com/watch?v=Nn2_7IvCeZk,7,2024-05-18T18:10:00Z,,This volleyball save was amazing! 😱🏐 #shorts,"(Via vballtactics/tt)

#highschoolsports #volleyball #save #ouch #pain #allout #goinghard #tuff",20230029,412196,1834,0.0205
x43hbZ5_QFM,https://www.youtube.com/watch?v=x43hbZ5_QFM,1855,2024-05-15T20:31:57Z,"shane gillis pat mcafee, pat mcafee shane gillis, pat mcafee show shane gillis, shane gillis sports, barstool sports shane gillis, shane gillis nate diaz impression, nate diaz shane gillis, shane gillis nate diaz story, shane gillis steph curry, shane gillis gabe davis, gabe davis shane gillis, shane gillis alabama football, shane gillis football, shane gillis football game, shane gillis football coach, shane gillis college football, shane gillis sketch football, shane gillis",Funniest Shane Gillis Sports Moments,"Subscribe to Joke WRLD to stay in the comedy loop! 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
These are some of the funniest stories told by former D1 football player Shane Gillis about meeting professional athletes including Nate Diaz, Steph Curry, Gabe Davis, Deion Sanders, Saquon Barkley, Christian McCaffrey, and more! Let me know in the comments what moments we missed for part two. This Shane guy really knows ball. Thanks for watching! 
#jokewrld #shanegillis 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
Joke WRLD Merch: https://jokewrldmerch.com/
--------------------------------------------------------------------------------------------------------------------------------------------------------------
DM for Free Stickers -  https://www.instagram.com/joke.wrld/
--------------------------------------------------------------------------------------------------------------------------------------------------------------
Please Subscribe & Follow Joke WRLD On: 
IG - https://www.instagram.com/joke.wrld/
X- https://x.com/jokewrld_
Discord- https://discord.gg/hfvx2PbdPp
Tik Tok - https://vm.tiktok.com/ZMdMus6EG/
Second Channel - https://www.youtube.com/channel/UCEiY5-3y6y7Dx1VKNPm2Ksg
Patreon- https://www.patreon.com/jokewrld
Website: https://watchcomedy.live/jokewrld?utm_source=jokewrld",1158456,11031,381,0.0099
FlZ-KGXkKVQ,https://www.youtube.com/watch?v=FlZ-KGXkKVQ,61,2024-04-22T15:54:00Z,,Top 5 hardest sports in the world 🌎😳 #sports,,11768364,592982,17905,0.0519
bmG2BPovYTw,https://www.youtube.com/watch?v=bmG2BPovYTw,16,2024-04-04T12:01:27Z,,PRO KABADDI PLEYER SUDHAKAR || SKY SPORTS,,1572935,80959,270,0.0516
J54hWFqT0dY,https://www.youtube.com/watch?v=J54hWFqT0dY,50,2024-04-30T01:30:05Z,,"Pitcher hides substances in bullpen, a breakdown #pitching #sports #cheating #college",,5762159,219455,1909,0.0384
weETb9GVstw,https://www.youtube.com/watch?v=weETb9GVstw,49,2024-04-19T19:00:15Z,"mlb, baseball, city connect, jerseys, uniforms, new york mets, philadelphia phillies, sports, funny",The MLB City Connect Jerseys STINK #mlb #baseball #mets #phillies #uniforms #sports,What do you think of the City Connect jerseys?,595560,31199,1057,0.0542
19NX8Q44gU0,https://www.youtube.com/watch?v=19NX8Q44gU0,14,2024-06-01T23:42:37Z,"Champions League, Europa League, Soccer, UEFA, UCL, European Soccer, European Football, European Futbol, UEL, UCL Highlights, Champions League Highlights, Football, CBS Golazo, CBS, Micah Richards, Jamie Carragher, Thierry Henry, CBS Studio",Bellingham hitting Micah with the spray allegations!,"Stream every UEFA Champions League match live on Paramount+: http://bit.ly/UCLonParamount

Watch all the extended highlights from the UEFA Champions League HERE: http://bit.ly/ChampionsLeagueExtendedHighlights 

Watch the epic UCL punditry from Thierry Henry, Micah Richards, and Jamie Carragher HERE: http://bit.ly/CBSSportsGolazo

Follow us across our social media! 
○ TWITTER: http://twitter.com/CBSSportsGolazo
○ FACEBOOK: http://facebook.com/CBSSportsGolazo/
○ INSTAGRAM: http://instagram.com/cbssportsgolazo
○ TIK TOK: http://tiktok.com/@cbssportsgolazo

Subscribe to our other CBS Sports Golazo channels!
https://www.youtube.com/@CBSSportsGolazoEurope
https://www.youtube.com/@attackingthird
https://www.youtube.com/@cbssportsgolazo-asia
https://www.youtube.com/CBSSportsGolazo-SouthAmerica

Home of Serie A, NWSL, Concacaf Men's and Women's Nations League and World Cup Qualifiers, Argentina’s Liga Profesional de Fútbol, Brazil’s Campeonato Brasileirão Série A and UEFA men’s club competitions including the Europa League, Europa Conference League and... 🎶 THE CHAAAMPIONSSS 🎶",4633822,217549,474,0.0471
3_Eov-Qw_Bg,https://www.youtube.com/watch?v=3_Eov-Qw_Bg,59,2024-06-09T04:11:40Z,"zhengsiwei, badminton, lee chong wei, lin dan, vlog, sport, 羽毛球, バドミントン, bulu tangkis, Viktor Axelsen, 李宗偉, tai tzu ying, tonygunawan, covid19, BWF, momota vs ginting, indonesia, korea, badmintonopen, 李宗伟, 马来西亚, taufik hidayat, taufik, funnybadminton, funny, funnysport, markiskido, badmintonsmash, smash, attackbadmintom, badmitnonevolution, petergade, badmintontop10, 이용대, tokyoolympic, 2020olympic, mohammadahsan, 2022, pvsindhu, carolinamarin, 2023denmarkopen, tunjung, allengland2024, indonesiaopen2024, hendrasetiawan",One of the dirtiest Play in Badminton  #youtubeshorts #badminton #youtube #sports #angry,"🔗 Channel Link: https://youtube.com/@ThisIsBadminton?si=JKtAvh-cBEQtE5Mb

🕒 Check out our New videos - Subscribe & turn on notifications so you won't miss any!

🌟 Why This Is Badminton?
💡 We're passionate about promote the popularity of badminton and use innovative ways to showcase the uniqueness of this sport.

👥 Subscribe my channel:
🔔 For more high quality badminton videos, be sure to subscribe and turn on notifications.",1902404,52972,2451,0.0291
CfcyvqER00Y,https://www.youtube.com/watch?v=CfcyvqER00Y,47,2024-04-26T22:06:47Z,"nfl, football, draft, michael penix, atlanta falcons, skit, sports, funny",The Atlanta Falcons Are Morons #nfl #football #draft #michaelpenix #skit #sports #funny,Why would they ever make this pick?,787053,52280,648,0.0672
I3WZNkkJzfU,https://www.youtube.com/watch?v=I3WZNkkJzfU,59,2024-06-13T23:41:56Z,"Mlb, Baseball, hitflix, hit flix, craziest, craziest bats, mlb history, bat, custom bat, 3 craziest bats in mlb history",3 CRAZIEST Bats In MLB History,"MLB players have some of the craziest baseball bats in the world……

#MLB #HitFlix #Baseball",5112064,120033,654,0.0236
W1DbVCmgJ1g,https://www.youtube.com/watch?v=W1DbVCmgJ1g,138,2024-04-30T12:00:32Z,"Educational Songs For Kids, Educational Videos, Educational Videos For Kids, Geography For Kids, KLT, KLT Geography, Kids Learning Tube, Learning For Kids, Learning Songs, Science For Kids, africa, capitals, counties, countries, country, county, education, educational, geography, north america, region, regions, state, states, world geography, world region, world regions, countries for kids, sports from around the world, different sports from around the world, national sports",Learn About Sports Played Around The World! | Geography Songs For Kids | KLT Geography,"Let's learn about national sports from around the world!

MORE KLT: 
► Get KLT’s US GEOGRAPHY COLORING BOOK: https://www.amazon.com/dp/B0CJXDRW4V
► Watch KLT's most popular videos: https://youtube.com/playlist?list=PLmIHwWY0hiuwJoMu_u77fQ9z14hG0cHzz 
► Watch a related video: https://youtu.be/Yo444iZlgGs 
► Check out the KLT Website & Merch Shop: https://kidslearningtubeshop.com/ 
► Subscribe to KLT GEOGRAPHY: https://www.youtube.com/channel/UCjE9oosITb_DAI8EMcsQ5TA?sub_confirmation=1 
► LOVE ANIMALS? Subscribe to The NEW KLT WILD: https://www.youtube.com/channel/UCwynFfAvCF2kiRSMWiozQHg?sub_confirmation=1 
► Subscribe to KLT: https://www.youtube.com/channel/UC7EFWpvc1wYuUwrtZ_BLi9A?sub_confirmation=1
 ► Want to learn how YOUR body works? Subscribe to KLT ANATOMY: https://www.youtube.com/channel/UCF5spd04H6MEj-3Uvs2umZA?sub_confirmation=1 
► Quieres aprender en Español? Suscríbete a KLT Español: https://www.youtube.com/channel/UCoRarz8xOH4d9RJw_hsk-Wg?sub_confirmation=1 
► KLT Music Downloads: https://kidslearningtubeshop.com/collections/music 
► Get the KLT App for iOS: https://apps.apple.com/us/app/kids-learning-tube/id1491094573?ls=1 
► Get the KLT App for Android: https://play.google.com/store/apps/details?id=com.w35ef400ff78.www 

KLT Geography is THE destination to learn the wonders of the world’s countries, continents, oceans and other natural features through fun, original music and unique animation. Tune in EVERY Saturday for new videos!
 _________ 

#klt #geography #sports 
Learn About Sports Played Around The World! | Geography Songs For Kids | KLT Geography",185829,439,0,0.0024
0PF2Iw5gYao,https://www.youtube.com/watch?v=0PF2Iw5gYao,32,2024-06-01T01:26:32Z,"martin rios, fitness, fitness tips, gym, gym shorts, bodybuilding, bodybuilder, aesthetic body, aesthetic physique, sports, sports drink, gatorade, intra workout drink, intra workout carbs, intra workout nutrition, post workout nutrition, carbs for muscle growth, carbs for building muscle, bodybuilding nutrition, bodybuilding diet, gym motivation, bodybuilders are idiots, build muscle, grow muscle, post workout meal, are sports drinks good for you, high glycemic carbs, lifting","""Sports Drinks Are Bad For You"" 🤦‍♂️","In this video, Martin Rios goes over sports drinks and if you should use them to help you reach your bodybuilding goals. Many bodybuilders think that sports drinks are bad for you because they have a lot of sugar. Martin Rios go over how sports drinks like gatorade can actually be a good tool to help you reach your bodybuilding and athlete goals as they can help energize you during your workout and help with post workout recovery.

#bodybuilding #gym #gatorade #sports #sportsdrink",656202,27113,293,0.0418
EjMOCGl_Q2U,https://www.youtube.com/watch?v=EjMOCGl_Q2U,48,2024-04-30T11:00:10Z,"tifo football, tifo football youtube, youtube tifo football, tifofootball, tifofootball youtube, goalkeepers, goalies, keepers, premier league, onana",Why Goalkeepers Use Vaseline On Their Gloves,"Try The Athletic for FREE for 30 days: https://theathletic.com/tifofootball
📗 Tifo's new book, ""How to Watch Football"" is now available internationally: https://linktr.ee/tifobook

Man Utd's Andre Onana has been doing it this season.
 
Follow Tifo Football:
Twitter: https://twitter.com/TifoFootball_
Facebook: http://facebook.com/TifoFootball
Instagram: http://instagram.com/TifoFootball_

Listen to the Tifo Football podcast:
The Athletic UK: http://bit.ly/TifoPodChannel
Apple Podcasts: http://bit.ly/TifoFootPod
Spotify: https://open.spotify.com/show/06QIGhqK31Qw1UvfHzRIDA

Watch more Tifo Football: Tactics Explained: https://youtube.com/playlist?list=PLWYJXDKS21OE39KTymISkCrgCckZh2_sD&playnext=1
Finances & Laws: https://youtube.com/playlist?list=PLWYJXDKS21OEcOCEjYX59zfcGYrCXFMR2&playnext=1
Tifo Football Podcast: https://youtube.com/playlist?list=PLWYJXDKS21OHj085qILmy-O2-yZqFIcuM&playnext=1
Most Recent Videos: https://youtube.com/playlist?list=PLWYJXDKS21OGSHqQmRnREA6J11Tadn1zC&playnext
1 Popular Videos: https://youtube.com/playlist?list=PLWYJXDKS21OF841IcGORTXynu2l67jpeE&playnext=1

About Tifo Football:
Tifo loves football. We create In-depth tactical, historical and geopolitical breakdowns of the beautiful game. 

We know there’s an appetite for thoughtful, intelligent content. For stuff that makes the complicated simple.

We provide analysis on the Premier League, Champions League, La Liga, Serie A, Bundesliga, World Cup and more.

Our podcasts interview some of the game’s leading figures. And our editorial covers football with depth and insight.

Founded in 2017 and became a part of The Athletic in 2020. For business inquiries, reach out to tifo@theathletic.com.

Music sourced from epidemicsound.com
Additional footage sourced from freestockfootagearchive.com

#Shorts #Football #PremierLeague",1750715,113376,350,0.065
-3QU820iFjg,https://www.youtube.com/watch?v=-3QU820iFjg,17,2024-06-28T04:00:00Z,,Bro got traded on Day 1😭,"🏀NBA WEEKLY BREAKDOWN -- youtube.com/playlist?list=PL_HppZy-GwSyKy1Q-DcW1l9VkpjLIpbNO

📌 Follow HoH WhatsApp: whatsapp.com/channel/0029VaWxtu18kyyV3TAkKk3q
📌 Follow HoH Instagram: https://www.instagram.com/houseofhighlights
📌 Follow HoH TikTok: https://www.tiktok.com/@houseofhighlights

#HouseofHighlights #NBA",5981523,180937,600,0.0303
